product_name,sales
"Apple Smart Phone, Full Size",86935.7786
"Cisco Smart Phone, Full Size",76441.5306
"Motorola Smart Phone, Full Size",73156.303
"Nokia Smart Phone, Full Size",71904.5555
Canon imageCLASS 2200 Advanced Copier,61599.82399999999
"Hon Executive Leather Armchair, Adjustable",58193.484099999994
"Office Star Executive Leather Armchair, Adjustable",50661.683999999994
"Harbour Creations Executive Leather Armchair, Adjustable",50121.515999999996
"Samsung Smart Phone, Cordless",48653.460000000014
"Nokia Smart Phone, with Caller ID",47877.7857
